ID,Broad Region,Region,Sex
3,Alaska,South Yukon,M
4,Alaska,South Yukon,F
65,Alaska,Southeast Alaska,M
12ZWG,Alaska,Northeast Alaska,M
12ZWH,Alaska,North Alaska,M
12ZWI,Alaska,North Alaska,M
12ZWJ,Alaska,North Alaska,F
12ZWK,Alaska,North Alaska,F
12ZWL,Alaska,North Alaska,F
12ZWM,Alaska,North Alaska,F
12ZWN,Alaska,North Alaska,F
12ZWO,Alaska,North Alaska,F
12ZWP,Alaska,North Alaska,F
12ZWQ,Alaska,North Alaska,F
12ZWR,Alaska,North Alaska,F
12ZWS,Alaska,North Alaska,F
12ZWT,Alaska,North Alaska,F
12ZWU,Alaska,North Alaska,F
12ZWV,Alaska,North Alaska,M
12ZWW,Alaska,North Alaska,M
12ZWX,Alaska,North Alaska,M
12ZWY,Alaska,North Alaska,M
12ZWZ,Alaska,North Alaska,M
12ZX1,Alaska,North Alaska,M
12ZX2,Alaska,North Alaska,M
12ZX3,Alaska,North Alaska,M
1EZWY,Alaska,North Alaska,M
1EZWZ,Alaska,North Alaska,M
1EZX1,Alaska,North Alaska,M
1EZX2,Alaska,North Alaska,M
1EZX3,Alaska,North Alaska,M
1EZX4,Alaska,North Alaska,M
1EZX5,Alaska,North Alaska,M
1EZX6,Alaska,North Alaska,F
1EZX7,Alaska,North Alaska,F
1EZXR,Alaska,North Alaska,F
1EZXS,Alaska,North Alaska,M
1EZXT,Alaska,North Alaska,F
1EZXU,Alaska,North Alaska,M
1EZXV,Alaska,North Alaska,M
1EZXW,Alaska,North Alaska,F
1EZXX,Alaska,North Alaska,M
1EZXY,Alaska,North Alaska,M
1EZXZ,Alaska,North Alaska,M
1EZY1,Alaska,North Alaska,M
1EZY2,Alaska,North Alaska,M
1EZY3,Alaska,Central Alaska,F
1EZY4,Alaska,North Alaska,M
1EZY5,Alaska,Central Alaska,M
1EZY6,Alaska,Central Alaska,M
1EZY7,Alaska,Central Alaska,M
1EZY8,Alaska,Central Alaska,M
1EZY9,Alaska,Central Alaska,F
1EZYA,Alaska,Central Alaska,F
1EZYB,Alaska,Northeast Alaska,F
1EZYC,Alaska,Northeast Alaska,F
1EZYD,Alaska,Northeast Alaska,F
1EZYE,Alaska,Northeast Alaska,M
1EZYF,Alaska,Northeast Alaska,M
1EZYG,Alaska,Northeast Alaska,M
1EZYH,Alaska,Northeast Alaska,M
1EZYI,Alaska,Northeast Alaska,M
1EZYJ,Alaska,Northeast Alaska,M
1EZYK,Alaska,Northeast Alaska,M
1EZYL,Alaska,Central Alaska,M
1EZYM,Alaska,Central Alaska,M
1EZYN,Alaska,Central Alaska,M
1EZYO,Alaska,West Alaska,M
1EZYP,Alaska,West Alaska,F
1EZYQ,Alaska,West Alaska,F
1EZYR,Alaska,West Alaska,M
1EZYS,Alaska,West Alaska,F
1EZYT,Alaska,Central Alaska,M
1EZYU,Alaska,Central Alaska,M
1EZYV,Alaska,Central Alaska,M
1EZYW,Alaska,Central Alaska,M
1EZYX,Alaska,Central Alaska,F
1EZYY,Alaska,Central Alaska,F
1EZYZ,Alaska,Central Alaska,F
1EZZ1,Alaska,Central Alaska,F
1EZZ2,Alaska,Central Alaska,F
1EZZ3,Alaska,Central Alaska,F
1EZZ4,Alaska,Central Alaska,F
1EZZ5,Alaska,Northeast Alaska,M
1EZZ6,Alaska,Northeast Alaska,M
1EZZ7,Alaska,Northeast Alaska,M
1EZZ8,Alaska,Northeast Alaska,M
3UZZO,Alaska,Kenai Peninsula,M
3UZZP,Alaska,Kenai Peninsula,M
3UZZQ,Alaska,Kenai Peninsula,M
3UZZR,Alaska,Kenai Peninsula,M
3UZZS,Alaska,Kenai Peninsula,M
3UZZT,Alaska,Kenai Peninsula,M
3UZZU,Alaska,Kenai Peninsula,M
3UZZV,Alaska,Kenai Peninsula,M
3UZZW,Alaska,Kenai Peninsula,M
