ID,Broad.Region,Region,Sex
12ZWG,Alaska,Northeast Alaska,M
12ZWH,Alaska,North Alaska,M
12ZWI,Alaska,North Alaska,M
12ZWJ,Alaska,North Alaska,F
12ZWK,Alaska,North Alaska,F
12ZWT,Alaska,North Alaska,F
12ZWZ,Alaska,North Alaska,M
12ZX1,Alaska,North Alaska,M
1EZWY,Alaska,North Alaska,M
1EZX2,Alaska,North Alaska,M
1EZX3,Alaska,North Alaska,M
1EZX4,Alaska,North Alaska,M
1EZX5,Alaska,North Alaska,M
1EZX6,Alaska,North Alaska,F
1EZX7,Alaska,North Alaska,F
1EZXR,Alaska,North Alaska,F
1EZXS,Alaska,North Alaska,M
1EZXV,Alaska,North Alaska,M
1EZXW,Alaska,North Alaska,F
1EZXY,Alaska,North Alaska,M
1EZXZ,Alaska,North Alaska,M
1EZY2,Alaska,North Alaska,M
1EZY6,Alaska,Central Alaska,M
1EZY8,Alaska,Central Alaska,M
1EZYA,Alaska,Central Alaska,F
1EZYB,Alaska,Northeast Alaska,F
1EZYC,Alaska,Northeast Alaska,F
1EZYE,Alaska,Northeast Alaska,M
1EZYF,Alaska,Northeast Alaska,M
1EZYG,Alaska,Northeast Alaska,M
1EZYH,Alaska,Northeast Alaska,M
1EZYI,Alaska,Northeast Alaska,M
1EZYJ,Alaska,Northeast Alaska,M
1EZYK,Alaska,Northeast Alaska,M
1EZYL,Alaska,Central Alaska,M
1EZYM,Alaska,Central Alaska,M
1EZYN,Alaska,Central Alaska,M
1EZYO,Alaska,West Alaska,M
1EZYP,Alaska,West Alaska,F
1EZYQ,Alaska,West Alaska,F
1EZYR,Alaska,West Alaska,M
1EZYS,Alaska,West Alaska,F
1EZYT,Alaska,Central Alaska,M
1EZYX,Alaska,Central Alaska,F
1EZYY,Alaska,Central Alaska,F
1EZYZ,Alaska,Central Alaska,F
1EZZ1,Alaska,Central Alaska,F
1EZZ3,Alaska,Central Alaska,F
1EZZ4,Alaska,Central Alaska,F
1EZZ5,Alaska,Northeast Alaska,M
1EZZ6,Alaska,Northeast Alaska,M
1EZZ7,Alaska,Northeast Alaska,M
3UZZP,Alaska,Kenai Peninsula,M
3UZZU,Alaska,Kenai Peninsula,M
3UZZY,Alaska,Kenai Peninsula,M
3VZV1,Alaska,Kenai Peninsula,M
3VZV4,Alaska,Central Alaska,F
3VZV9,Alaska,Southeast Alaska,M
3VZVA,Alaska,Central Alaska,NA
3VZVB,Alaska,Southeast Alaska,F
3VZVD,Alaska,Southeast Alaska,F
3VZVH,Alaska,Kenai Peninsula,F
3VZVI,Alaska,Kenai Peninsula,F
3VZVJ,Alaska,Kenai Peninsula,F
3VZVK,Alaska,Kenai Peninsula,F
